loss,accuracy,AUC,Precision,Recall,f1_score,img_size,colour_mode,augment,batch_size,epochs,filter,dropout,duration
0.615,0.732,0.812,0.712,0.959,0.769,150.0,grayscale,True,16.0,3.0,3.0,0.2,45.24
0.603,0.787,0.883,0.754,0.977,0.769,150.0,grayscale,False,16.0,3.0,3.0,0.2,45.254
0.465,0.753,0.907,0.72,0.99,0.769,150.0,rgb,True,16.0,3.0,3.0,0.2,49.536
0.912,0.764,0.897,0.728,0.995,0.769,150.0,rgb,False,16.0,3.0,3.0,0.2,46.758
0.649,0.699,0.738,0.684,0.964,0.769,300.0,grayscale,True,16.0,3.0,3.0,0.2,184.788
1.026,0.752,0.84,0.735,0.944,0.77,300.0,grayscale,False,16.0,3.0,3.0,0.2,183.576
0.699,0.688,0.793,0.671,0.982,0.769,300.0,rgb,True,16.0,3.0,3.0,0.2,200.276
1.152,0.752,0.855,0.734,0.946,0.769,300.0,rgb,False,16.0,3.0,3.0,0.2,189.653
0.877,0.625,0.538,0.626,0.992,0.769,150.0,grayscale,True,16.0,3.0,3.0,0.5,43.641
0.444,0.795,0.893,0.773,0.951,0.769,150.0,grayscale,False,16.0,3.0,3.0,0.5,43.396
0.646,0.739,0.792,0.86,0.695,0.769,150.0,rgb,True,16.0,3.0,3.0,0.5,48.146
0.484,0.793,0.915,0.758,0.982,0.769,150.0,rgb,False,16.0,3.0,3.0,0.5,45.927
0.608,0.692,0.756,0.692,0.915,0.769,300.0,grayscale,True,16.0,3.0,3.0,0.5,188.958
0.537,0.729,0.852,0.706,0.972,0.769,300.0,grayscale,False,16.0,3.0,3.0,0.5,187.458
0.604,0.678,0.717,0.682,0.908,0.769,300.0,rgb,True,16.0,3.0,3.0,0.5,202.932
0.667,0.723,0.76,0.697,0.985,0.769,300.0,rgb,False,16.0,3.0,3.0,0.5,191.018
0.408,0.824,0.921,0.792,0.974,0.769,150.0,grayscale,True,16.0,3.0,7.0,0.2,40.818
0.661,0.718,0.866,0.691,0.992,0.769,150.0,grayscale,False,16.0,3.0,7.0,0.2,39.521
0.643,0.633,0.666,0.632,0.99,0.769,150.0,rgb,True,16.0,3.0,7.0,0.2,45.565
0.448,0.768,0.92,0.737,0.977,0.769,150.0,rgb,False,16.0,3.0,7.0,0.2,42.2
0.713,0.671,0.691,0.692,0.856,0.769,300.0,grayscale,True,16.0,3.0,7.0,0.2,183.721
1.05,0.723,0.887,0.695,0.99,0.769,300.0,grayscale,False,16.0,3.0,7.0,0.2,181.001
0.611,0.679,0.733,0.717,0.805,0.769,300.0,rgb,True,16.0,3.0,7.0,0.2,198.467
0.671,0.769,0.866,0.741,0.969,0.769,300.0,rgb,False,16.0,3.0,7.0,0.2,185.679
0.37,0.84,0.914,0.907,0.828,0.769,150.0,grayscale,True,16.0,3.0,7.0,0.5,39.899
0.373,0.851,0.93,0.84,0.941,0.769,150.0,grayscale,False,16.0,3.0,7.0,0.5,39.969
0.845,0.639,0.724,0.634,1.0,0.769,150.0,rgb,True,16.0,3.0,7.0,0.5,45.719
0.626,0.679,0.9,0.663,0.992,0.769,150.0,rgb,False,16.0,3.0,7.0,0.5,42.392
0.531,0.801,0.863,0.896,0.772,0.769,300.0,grayscale,True,16.0,3.0,7.0,0.5,181.729
0.894,0.712,0.893,0.685,0.997,0.769,300.0,grayscale,False,16.0,3.0,7.0,0.5,182.723
0.55,0.716,0.857,0.69,0.992,0.769,300.0,rgb,True,16.0,3.0,7.0,0.5,223.359
0.633,0.633,0.812,0.631,0.995,0.769,300.0,rgb,False,16.0,3.0,7.0,0.5,194.093
0.609,0.67,0.875,0.656,0.992,0.769,150.0,grayscale,True,32.0,3.0,3.0,0.2,37.391
0.562,0.792,0.882,0.762,0.969,0.769,150.0,grayscale,False,32.0,3.0,3.0,0.2,36.801
0.615,0.686,0.707,0.678,0.946,0.769,150.0,rgb,True,32.0,3.0,3.0,0.2,44.22
0.865,0.739,0.842,0.709,0.987,0.769,150.0,rgb,False,32.0,3.0,3.0,0.2,39.786
0.57,0.732,0.763,0.733,0.9,0.769,300.0,grayscale,True,32.0,3.0,3.0,0.2,247.333
0.664,0.625,0.5,0.625,1.0,0.769,300.0,grayscale,False,32.0,3.0,3.0,0.2,205.296
0.664,0.625,0.5,0.625,1.0,0.769,300.0,rgb,True,32.0,3.0,3.0,0.2,286.398
0.412,0.824,0.906,0.806,0.946,0.769,300.0,rgb,False,32.0,3.0,3.0,0.2,176.892
0.644,0.625,0.634,0.625,1.0,0.769,150.0,grayscale,True,32.0,3.0,3.0,0.5,37.501
0.471,0.782,0.925,0.748,0.982,0.769,150.0,grayscale,False,32.0,3.0,3.0,0.5,37.279
0.658,0.643,0.663,0.691,0.774,0.769,150.0,rgb,True,32.0,3.0,3.0,0.5,44.226
