loss,accuracy,AUC,Precision,Recall,f1_score,img_size,colour_mode,augment,batch_size,epochs,filter,dropout,duration
0.672,0.667,0.726,0.663,0.951,0.769,150.0,grayscale,True,16.0,3.0,3.0,0.2,44.497
0.421,0.806,0.888,0.806,0.908,0.769,150.0,grayscale,False,16.0,3.0,3.0,0.2,43.536
0.75,0.641,0.736,0.636,0.995,0.769,150.0,rgb,True,16.0,3.0,3.0,0.2,47.385
0.382,0.832,0.933,0.925,0.795,0.769,150.0,rgb,False,16.0,3.0,3.0,0.2,47.281
0.658,0.681,0.722,0.688,0.897,0.769,300.0,grayscale,True,16.0,3.0,3.0,0.2,183.484
0.712,0.665,0.748,0.668,0.923,0.769,300.0,grayscale,False,16.0,3.0,3.0,0.2,184.003
0.56,0.734,0.794,0.714,0.959,0.769,300.0,rgb,True,16.0,3.0,3.0,0.2,199.677
0.536,0.758,0.824,0.735,0.959,0.769,300.0,rgb,False,16.0,3.0,3.0,0.2,199.991
0.805,0.633,0.518,0.631,0.992,0.769,150.0,grayscale,True,16.0,3.0,3.0,0.5,43.01
0.647,0.627,0.68,0.626,1.0,0.769,150.0,grayscale,False,16.0,3.0,3.0,0.5,43.248
0.661,0.643,0.696,0.639,0.982,0.769,150.0,rgb,True,16.0,3.0,3.0,0.5,47.178
0.783,0.628,0.602,0.628,0.995,0.769,150.0,rgb,False,16.0,3.0,3.0,0.5,47.282
0.606,0.649,0.735,0.662,0.897,0.769,300.0,grayscale,True,16.0,3.0,3.0,0.5,183.744
0.767,0.679,0.626,0.677,0.931,0.769,300.0,grayscale,False,16.0,3.0,3.0,0.5,184.042
0.773,0.684,0.583,0.68,0.933,0.769,300.0,rgb,True,16.0,3.0,3.0,0.5,199.893
0.786,0.667,0.608,0.665,0.941,0.769,300.0,rgb,False,16.0,3.0,3.0,0.5,200.012
0.472,0.75,0.903,0.722,0.974,0.769,150.0,grayscale,True,16.0,3.0,7.0,0.2,39.835
0.56,0.764,0.872,0.737,0.969,0.769,150.0,grayscale,False,16.0,3.0,7.0,0.2,39.723
0.791,0.654,0.733,0.648,0.977,0.769,150.0,rgb,True,16.0,3.0,7.0,0.2,44.745
0.65,0.707,0.892,0.683,0.99,0.769,150.0,rgb,False,16.0,3.0,7.0,0.2,45.047
0.477,0.774,0.859,0.818,0.821,0.769,300.0,grayscale,True,16.0,3.0,7.0,0.2,180.54
0.702,0.683,0.742,0.676,0.946,0.769,300.0,grayscale,False,16.0,3.0,7.0,0.2,180.262
0.708,0.668,0.834,0.655,0.992,0.769,300.0,rgb,True,16.0,3.0,7.0,0.2,196.731
0.552,0.744,0.801,0.818,0.759,0.769,300.0,rgb,False,16.0,3.0,7.0,0.2,196.591
0.59,0.793,0.891,0.874,0.782,0.769,150.0,grayscale,True,16.0,3.0,7.0,0.5,39.926
0.773,0.623,0.622,0.624,0.997,0.769,150.0,grayscale,False,16.0,3.0,7.0,0.5,40.397
1.465,0.625,0.781,0.625,1.0,0.769,150.0,rgb,True,16.0,3.0,7.0,0.5,44.697
0.669,0.62,0.579,0.623,0.992,0.769,150.0,rgb,False,16.0,3.0,7.0,0.5,44.652
0.766,0.663,0.61,0.676,0.885,0.769,300.0,grayscale,True,16.0,3.0,7.0,0.5,180.378
0.656,0.667,0.713,0.721,0.762,0.769,300.0,grayscale,False,16.0,3.0,7.0,0.5,180.46
0.535,0.739,0.825,0.72,0.954,0.769,300.0,rgb,True,16.0,3.0,7.0,0.5,196.663
0.662,0.625,0.5,0.625,1.0,0.769,300.0,rgb,False,16.0,3.0,7.0,0.5,196.398
0.47,0.742,0.919,0.712,0.985,0.769,150.0,grayscale,True,32.0,3.0,3.0,0.2,37.924
